Participant,Sex,Age,AgeGroup,AcquisitionAge,Univ.ProfNativeEngSpeakerYesNo,TrainingGroup,Word,PrePosttraining,OnsetMedialCoda,TrainedNewWord,VoicedUnvoiced,Phoneme,POA,Position,tierNumber,tiermeaning,HKUNativeSoundingYesNo,RUNativeSoundingYesNo,ComprehensionPerformanceT1T2,Column1,onset,offset,midpoint,midbottom,midtop,soundname,intervalname,F0_Max,F0_Average,midF0_max,midF0_avg,First_Formant,First_Formant_mid,Second_Formant,Second_Formant_mid,Third_Formant,Third_Formant_mid,Intensity_Max,Intensity_Max_mid,Intensity_Average,Intensity_Average_mid,Mid_Duration,Duration,Dur
1404,,,University Students,,,Yes,feet,post,coda,trained,unvoiced,t,alveolar,coda,2, ,,,, ,0.7673,0.805,0.7861,0.7736,0.7987,1404-feet-2,null asp,--undefined--,--undefined--,--undefined--,--undefined--,529.2611,588.5967581,1936.256406,1985.540191,3110.054263,3177.541047,42.48418508,42.48418508,37.4759,38.0281,0.0252,0,0
1404,,,University Students,,,Yes,feet,post,coda,trained,unvoiced,t,alveolar,coda,3, ,,,, ,0.7673,0.805,0.7861,0.7736,0.7987,1404-feet-2,null vbar,--undefined--,--undefined--,--undefined--,--undefined--,529.2611,588.5967581,1936.256406,1985.540191,3110.054263,3177.541047,42.48418508,42.48418508,37.4759,38.0281,0.0252,0,0
,,, ,,, , , , , , , , , ,, ,,,, ,,,,,, , , , , , ,, , , , , , , ,,,,,0
1404,,,University Students,,,Yes,got,pre,coda,trained,unvoiced,t,alveolar,vowel,1, ,,,, ,0.4284,0.5559,0.4922,0.4497,0.5346,1404-got-1,vowel,223.9448176,210.9841679,215.7340858,205.2722022,711.1484,696.5811899,1152.974144,1169.235773,2448.028543,2397.317332,58.63609578,58.63609578,52.4488,53.1699,0.085,0.1274665,127
1404,,,University Students,,,Yes,got,pre,coda,trained,unvoiced,t,alveolar,onset,2, ,,,, ,0.3902,0.4284,0.4093,0.3966,0.422,1404-got-1,null asp,223.9448176,223.9448176,--undefined--,--undefined--,624.347,688.442113,1441.334092,1434.302721,3006.534904,2929.245615,52.93108408,48.35165229,45.4903,45.1506,0.0255,0,0
1404,,,University Students,,,Yes,got,pre,coda,trained,unvoiced,t,alveolar,coda,2, ,,,, ,0.5559,0.6103,0.5831,0.5649,0.6012,1404-got-1,null asp,--undefined--,--undefined--,--undefined--,--undefined--,647.9561,763.9664248,1422.454653,1508.832351,2644.981602,2724.667841,42.60886777,40.57515315,35.7273,36.2722,0.0363,0,0
1404,,,University Students,,,Yes,got,pre,coda,trained,unvoiced,t,alveolar,onset,3, ,,,, ,0.3902,0.4284,0.4093,0.3966,0.422,1404-got-1,null vbar,223.9448176,223.9448176,--undefined--,--undefined--,624.347,688.442113,1441.334092,1434.302721,3006.534904,2929.245615,52.93108408,48.35165229,45.4903,45.1506,0.0255,0,0
1404,,,University Students,,,Yes,got,pre,coda,trained,unvoiced,t,alveolar,coda,3, ,,,, ,0.5559,0.6103,0.5831,0.5649,0.6012,1404-got-1,null vbar,--undefined--,--undefined--,--undefined--,--undefined--,647.9561,763.9664248,1422.454653,1508.832351,2644.981602,2724.667841,42.60886777,40.57515315,35.7273,36.2722,0.0363,0,0
,,, ,,, , , , , , , , , ,, ,,,, ,,,,,, , , , , , ,, , , , , , , ,,,,,0
1404,,,University Students,,,Yes,got,post,coda,trained,unvoiced,t,alveolar,vowel,1, ,,,, ,0.4571,0.6357,0.5464,0.4868,0.6059,1404-got-2,vowel,226.8328463,213.4599479,209.5617508,203.6612654,813.7629,761.3797812,1102.638656,1205.760294,2558.449812,2560.734216,68.98164747,67.93376891,60.4219,60.6794,0.1191,0.17862147,179
1404,,,University Students,,,Yes,got,post,coda,trained,unvoiced,t,alveolar,onset,2, ,,,, ,0.4098,0.4573,0.4335,0.4177,0.4494,1404-got-2,null asp,227.9236997,226.3168226,227.5446338,225.7118507,564.4896,662.6411566,1448.491275,1423.725302,2547.927397,2429.104027,66.93442949,65.04027873,64.1121,63.6406,0.0317,0,0
